순번,금융회사 명,금융 상품명,가입 방법,대출종류 코드,대출종류명,CB 회사명,공시 시작일,공시 제출월,공시 종료일,900점 초과,801~900점,701~800점,601~700점,501~600점,401~500점,301~400점,300점 이하,평균 금리
140,농협은행주식회사,가계신용대출(마이너스대출),영업점,2,마이너스한도대출,KCB,20240718,202407,,3.01,3.12,2.94,5.43,3.88,,,,3.02
141,농협은행주식회사,가계신용대출(마이너스대출),영업점,2,마이너스한도대출,KCB,20240718,202407,,3.58,3.58,3.57,3.61,3.6,,,,3.58
142,농협은행주식회사,가계신용대출(마이너스대출),영업점,2,마이너스한도대출,KCB,20240718,202407,,5.43,5.87,5.79,7.67,6.2,,,,5.48
143,농협은행주식회사,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹)",3,장기카드대출(카드론),KCB,20240721,202407,,12.58,13.05,15.01,17.61,19.14,,,,14.94
144,하나은행,일반신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240722,202407,,5.29,6.06,6.93,8.23,9.64,11.37,10.29,10.49,5.63
145,하나은행,일반신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240722,202407,,3.49,3.53,3.53,3.54,3.56,3.59,3.56,3.55,3.5
146,하나은행,일반신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240722,202407,,3.87,4.59,5.57,6.97,8.88,11.5,8.42,9.96,4.21
147,하나은행,일반신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240722,202407,,2.07,2.06,2.17,2.28,2.8,3.72,1.69,3.02,2.08
148,하나은행,마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240722,202407,,1.57,1.48,1.69,1.85,2.45,2.47,,2.51,1.57
149,하나은행,마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240722,202407,,3.7,3.85,3.89,3.54,3.38,3.4,,3.44,3.73
150,하나은행,마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240722,202407,,3.52,3.54,3.54,3.58,3.55,3.54,,3.56,3.52
151,하나은행,마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240722,202407,,5.65,5.91,5.74,5.27,4.48,4.47,,4.49,5.68
152,주식회사 케이뱅크,직장인K신용대출,스마트폰,1,일반신용대출,KCB,20240718,202407,20240818,5.23,6.04,6.54,7.09,,,,,5.99
153,주식회사 케이뱅크,직장인K신용대출,스마트폰,1,일반신용대출,KCB,20240718,202407,20240818,3.61,3.57,3.57,3.57,,,,,3.58
154,주식회사 케이뱅크,직장인K신용대출,스마트폰,1,일반신용대출,KCB,20240718,202407,20240818,1.62,2.47,2.97,3.52,,,,,2.41
155,주식회사 케이뱅크,직장인K마이너스통장,스마트폰,2,마이너스한도대출,KCB,20240718,202407,20240818,5.13,6.82,7.18,7.52,,,,,6.86
156,주식회사 케이뱅크,직장인K마이너스통장,스마트폰,2,마이너스한도대출,KCB,20240718,202407,20240818,3.59,3.57,3.58,3.58,,,,,3.57
157,주식회사 케이뱅크,직장인K마이너스통장,스마트폰,2,마이너스한도대출,KCB,20240718,202407,20240818,1.54,3.25,3.6,3.94,,,,,3.29
158,수협은행,개인신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240719,202407,,1.36,0.86,0.77,,,,,,1.31
159,수협은행,개인신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240719,202407,,3.21,3.38,3.77,,,6.94,,,3.23
160,수협은행,개인신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240719,202407,,3.19,3.19,3.35,,,3.53,,,3.19
161,수협은행,개인신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240719,202407,,5.04,5.71,6.35,,,10.47,,,5.11
162,수협은행,개인신용마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,5.77,6.13,6.44,,,,,,5.82
163,수협은행,개인신용마이너스한도대출,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,3.18,3.18,3.18,,,,,,3.18
